,Number,Valence,Energy,Tension,Anger,Fear,Happy,Sad,Tender,TARGET,Nro,Emotion,Album name,Track,Min:Sec
123,124,1.6,5.8,6.6,7.5,3.33,1.17,1.0,1.0,ANGER,124,Anger,The Rainmaker,7,01:45-02:00
124,125,2.2,5.8,6.0,7.4,4.0,1.0,1.0,1.0,ANGER,125,Anger,The Alien Trilogy,9,00:03-00:18
125,126,1.8,5.8,6.4,7.17,4.33,1.0,1.0,1.0,ANGER,126,Anger,The Alien Trilogy,9,01:14-01:29
126,127,2.4,6.6,6.6,7.17,4.0,1.17,1.0,1.0,ANGER,127,Anger,Gladiator,3,02:25-02:46
127,128,2.83,6.0,5.5,7.0,5.67,1.0,1.0,1.0,ANGER,128,Anger,The Four Feathers,9,02:42-02:57
128,129,2.8,5.2,6.2,6.67,6.17,1.0,1.0,1.0,ANGER,129,Anger,The Missing,3,03:24-03:42
129,130,2.6,5.2,6.6,6.67,3.83,1.0,1.0,1.0,ANGER,130,Anger,Road to Perdition,25,01:12-01:27
130,131,2.4,5.0,6.0,6.67,3.83,1.0,2.83,1.0,ANGER,131,Anger,Shine,9,00:48-01:04
131,132,2.33,4.0,5.67,6.33,5.5,1.17,1.0,1.0,ANGER,132,Anger,Psycho,17,00:27-00:45
132,133,2.0,5.67,6.17,6.33,4.17,1.0,1.0,1.0,ANGER,133,Anger,Cape Fear,13,00:02-00:20
133,134,3.17,5.67,6.33,6.0,5.4,1.0,1.0,1.0,ANGER,134,Anger,Shakespeare in Love,15,00:40-00:56
134,135,2.0,4.17,5.83,5.8,5.8,1.0,1.6,1.0,ANGER,135,Anger,Nostradamus,6,01:32-01:47
135,136,3.33,5.5,5.83,5.67,4.83,1.0,2.33,1.0,ANGER,136,Anger,The Missing,12,00:28-00:46
136,137,2.4,4.4,5.4,5.5,5.67,1.0,1.0,1.0,ANGER,137,Anger,Running Scared,15,03:20-03:33
137,138,2.4,5.8,6.6,5.4,5.0,1.0,1.0,1.0,ANGER,138,Anger,Cape Fear,12,00:02-00:20
138,139,1.83,6.0,6.5,5.2,4.2,1.0,1.0,1.0,ANGER,139,Anger,The Alien Trilogy,6,00:00-00:15
139,140,3.4,5.4,6.2,5.17,4.5,1.0,1.0,1.0,ANGER,140,Anger,Running Scared,16,03:30-03:45
140,141,2.17,5.17,6.33,5.0,6.83,1.0,1.0,1.0,ANGER,141,Anger,Cape Fear,6,01:02-01:20
141,142,3.17,6.0,6.33,4.33,5.67,1.0,1.0,1.0,ANGER,142,Anger,The Missing,12,00:00-00:24
142,143,3.0,5.0,6.2,3.83,4.17,1.0,1.83,1.0,ANGER,143,Anger,Naked Lunch,16,00:55-01:12
143,144,1.67,4.67,6.17,3.5,5.17,1.0,2.33,1.0,ANGER,144,Anger,Cape Fear,6,00:00-00:20
144,145,3.0,3.67,5.83,3.33,5.67,1.0,2.17,1.0,ANGER,145,Anger,Shakespeare in Love,11,00:45-00:59
145,146,2.67,4.83,5.33,3.0,5.83,1.0,1.33,1.0,ANGER,146,Anger,The Missing,10,04:44-05:01
146,147,4.67,3.0,5.0,2.83,4.33,1.17,2.5,1.83,ANGER,147,Anger,The Rainmaker,6,05:24-05:42
147,148,3.5,4.67,5.67,2.6,5.0,1.0,1.4,1.0,ANGER,148,Anger,Road to Perdition,25,00:13-00:27
148,149,5.5,2.17,2.83,1.0,1.6,1.0,6.8,2.8,ANGER,149,Anger,Band of Brothers,18,00:40-01:00
149,150,4.6,2.6,3.8,1.0,2.17,1.17,6.83,3.0,ANGER,150,Anger,Shakespeare in Love,9,00:00-00:22
150,151,3.83,5.17,4.5,1.17,2.0,2.83,1.0,1.0,SURPRISE,151,Surprise,The Rainmaker,5,00:00-00:16
151,152,2.8,5.0,5.2,1.5,2.33,1.83,1.0,1.0,SURPRISE,152,Surprise,The Rainmaker,9,01:36-01:46
152,153,3.83,3.67,5.0,1.5,1.83,1.67,2.67,1.0,SURPRISE,153,Surprise,Naked Lunch,14,01:02-01:17
153,154,1.6,7.0,6.0,3.0,1.5,1.17,1.0,1.0,SURPRISE,154,Surprise,Naked Lunch,18,00:14-00:30
154,155,3.0,3.0,4.67,1.0,2.17,1.17,1.67,1.0,SURPRISE,155,Surprise,The Rainmaker,4,04:31-04:43
155,156,3.33,4.5,5.83,1.0,3.33,3.5,1.0,1.83,SURPRISE,156,Surprise,Shallow Grave,4,01:04-01:19
156,157,1.17,5.0,6.67,2.0,6.83,1.0,1.0,1.0,SURPRISE,157,Surprise,The Alien Trilogy,5,00:26-00:41
157,158,1.6,6.0,6.0,2.17,2.83,1.5,1.0,1.0,SURPRISE,158,Surprise,Naked Lunch,8,04:00-04:16
158,159,2.33,6.17,6.33,4.83,3.0,1.33,1.0,1.0,SURPRISE,159,Surprise,Road to Perdition,20,00:25-00:40
159,160,5.6,4.6,3.8,1.0,1.0,5.0,1.5,1.83,SURPRISE,160,Surprise,Man of Galilee CD1,2,00:19-00:42
160,161,4.2,2.4,5.0,1.0,2.83,1.0,3.33,1.0,SURPRISE,161,Surprise,Band of Brothers,6,00:00-00:20
161,162,3.0,6.4,5.8,3.4,4.0,1.0,1.0,1.0,SURPRISE,162,Surprise,Man of Galilee CD1,2,03:45-04:02
162,163,3.6,4.2,5.2,1.0,1.0,2.0,2.5,1.67,SURPRISE,163,Surprise,Naked Lunch,7,01:01-01:20
163,164,2.2,4.4,5.4,1.5,4.67,1.0,1.83,1.0,SURPRISE,164,Surprise,Naked Lunch,17,00:00-00:19
164,165,1.5,5.33,6.33,5.8,3.0,2.0,1.0,1.0,SURPRISE,165,Surprise,Cape Fear,14,00:02-00:20
165,166,2.2,3.0,6.2,3.33,4.83,1.0,2.0,1.0,SURPRISE,166,Surprise,Cape Fear,15,02:32-02:50
166,167,3.17,5.83,5.0,3.5,1.67,3.33,1.0,1.0,SURPRISE,167,Surprise,Road to Perdition,14,00:00-00:15
167,168,1.83,4.17,6.33,6.67,3.83,1.0,1.0,1.0,SURPRISE,168,Surprise,Cape Fear,1,02:15-02:30
168,169,2.2,6.0,6.4,6.2,5.0,1.0,1.0,1.0,SURPRISE,169,Surprise,The Missing,12,02:35-02:55
169,170,1.8,4.2,6.2,3.5,5.33,1.0,1.0,1.0,SURPRISE,170,Surprise,The English Patient,8,01:35-01:57
170,171,4.33,2.0,2.83,1.67,2.83,1.0,3.33,2.67,SURPRISE,171,Surprise,Band of Brothers,2,00:34-00:57
171,172,6.0,6.0,3.6,1.0,1.0,6.33,1.0,1.0,SURPRISE,172,Surprise,Road to Perdition,14,01:15-01:30
172,173,3.6,5.4,5.4,1.0,4.5,1.0,1.0,1.0,SURPRISE,173,Surprise,Running Scared,6,02:53-03:07
173,174,4.0,4.0,5.0,1.0,2.83,1.0,5.0,1.0,SURPRISE,174,Surprise,The English Patient,8,00:38-00:57
174,175,3.33,3.5,5.5,1.17,3.5,1.0,4.33,1.0,SURPRISE,175,Surprise,Nostradamus,18,01:59-02:15
175,176,2.67,3.33,5.5,1.0,5.17,1.33,2.83,1.0,SURPRISE,176,Surprise,Running Scared,22,01:28-01:43
176,177,3.2,4.2,5.2,3.33,5.5,1.0,1.0,1.0,SURPRISE,177,Surprise,Cape Fear,2,01:25-01:40
177,178,2.8,4.0,5.6,2.33,4.5,1.0,3.5,1.0,SURPRISE,178,Surprise,Big Fish,15,00:15-00:30
178,179,4.0,2.2,3.4,1.0,1.5,1.83,4.5,3.5,SURPRISE,179,Surprise,Band of Brothers,12,02:31-02:48
179,180,4.2,3.0,3.2,1.0,1.0,2.5,2.33,2.83,SURPRISE,180,Surprise,Shakespeare in Love,6,00:00-00:19
180,181,6.6,3.4,2.4,1.0,1.0,4.8,1.0,6.4,HIGH VALENCE,181,High Val.,Batman,9,02:03-02:25
181,182,6.6,2.8,1.4,1.0,1.0,4.33,2.17,6.67,HIGH VALENCE,182,High Val.,Dances with Wolves,2,00:49-01:03
182,183,6.5,3.33,1.83,1.0,1.0,1.4,4.4,6.4,HIGH VALENCE,183,High Val.,The Fifth Element,24,01:39-02:03
183,184,6.5,3.67,2.0,1.0,1.0,3.0,1.5,6.33,HIGH VALENCE,184,High Val.,The Ocellus Suite,4,01:19-01:39
184,185,6.5,3.5,1.67,1.0,2.0,3.33,2.83,4.67,HIGH VALENCE,185,High Val.,Mother of Mine,1,01:31-01:49
185,186,6.4,3.6,2.0,1.0,1.0,4.33,1.67,5.0,HIGH VALENCE,186,High Val.,The Portrait of a Lady,7,00:00-00:16
186,187,6.33,4.5,3.0,1.0,1.0,5.17,1.0,5.17,HIGH VALENCE,187,High Val.,Juha,10,00:20-00:38
187,188,6.33,4.67,3.33,1.0,1.0,6.5,1.17,1.33,HIGH VALENCE,188,High Val.,Dances with Wolves,10,00:28-00:46
188,189,6.17,5.0,3.33,1.17,1.0,2.0,2.5,4.67,HIGH VALENCE,189,High Val.,Blanc,12,00:51-01:06
189,190,6.17,3.5,3.17,1.0,1.6,1.0,3.8,4.8,HIGH VALENCE,190,High Val.,Pride and Prejudice,9,00:01-00:21
190,191,6.0,3.4,1.6,1.0,1.0,6.33,1.0,5.5,HIGH VALENCE,191,High Val.,The Godfather,5,01:12-01:28
191,192,6.0,5.8,2.6,1.0,1.0,7.17,1.0,1.5,HIGH VALENCE,192,High Val.,Oliver Twist,1,00:17-00:34
192,193,6.0,5.17,2.83,1.0,1.0,6.83,1.17,3.0,HIGH VALENCE,193,High Val.,JFK,1,02:31-02:49
193,194,5.83,2.83,2.33,1.0,1.0,5.0,1.17,6.33,HIGH VALENCE,194,High Val.,The Portrait of a Lady,12,00:18-00:35
194,195,5.67,4.83,2.83,1.0,1.0,4.8,1.0,3.0,HIGH VALENCE,195,High Val.,Juha,7,00:03-00:15
195,196,5.67,3.67,3.17,1.0,1.0,1.0,5.17,5.33,HIGH VALENCE,196,High Val.,Dracula,11,03:27-03:42
196,197,5.67,2.0,1.83,1.0,1.0,1.17,5.67,4.0,HIGH VALENCE,197,High Val.,Mother of Mine,4,00:11-00:25
197,198,5.6,4.2,2.8,1.0,1.0,6.33,1.0,5.0,HIGH VALENCE,198,High Val.,The Omen ,2,00:16-00:33
198,199,5.5,5.17,3.5,1.0,1.4,5.2,1.0,1.4,HIGH VALENCE,199,High Val.,Juha,10,01:35-01:53
199,200,5.5,2.83,3.67,1.0,1.0,1.8,4.0,6.0,HIGH VALENCE,200,High Val.,Crouching Tiger Hidden Dragon,2,01:40-01:57
200,201,5.5,3.0,2.67,1.0,1.0,5.67,1.0,5.67,HIGH VALENCE,201,High Val.,Dances with Wolves,4,01:21-01:31
201,202,5.4,6.4,2.6,1.17,1.0,7.0,1.0,1.0,HIGH VALENCE,202,High Val.,Juha,1,00:42-00:59
202,203,5.17,5.17,3.0,1.0,1.0,6.67,1.17,3.0,HIGH VALENCE,203,High Val.,Grizzly Man,19,01:04-01:24
203,204,5.17,4.17,4.33,1.0,1.6,2.2,1.0,1.8,HIGH VALENCE,204,High Val.,Outbreak,6,00:16-00:31
204,205,4.8,5.2,2.8,1.0,1.0,5.83,1.0,3.17,HIGH VALENCE,205,High Val.,Oliver Twist,4,01:10-01:30
205,206,4.8,6.2,3.4,1.0,1.0,7.0,1.17,1.0,HIGH VALENCE,206,High Val.,Batman,20,01:09-01:33
206,207,4.6,5.2,2.4,1.0,1.0,6.33,1.17,3.17,HIGH VALENCE,207,High Val.,Juha,7,00:17-00:36
207,208,4.6,4.0,4.0,1.33,1.0,3.17,4.0,3.0,HIGH VALENCE,208,High Val.,Blanc,9,00:17-00:35
208,209,4.5,3.67,4.33,1.6,1.4,1.0,4.6,2.0,HIGH VALENCE,209,High Val.,Crouching Tiger Hidden Dragon,13,00:35-00:49
209,210,4.33,4.83,4.33,1.0,1.67,1.0,5.67,2.33,HIGH VALENCE,210,High Val.,Crouching Tiger Hidden Dragon,13,01:52-02:10
210,211,1.0,4.17,6.83,4.83,7.5,1.0,1.0,1.0,LOW VALENCE,211,Low Val.,Last samurai,2,02:20-02:40
